total_demand,allocated_amount,unmet_demand,preferred_share,core_share,conditional_share,restricted_share,weighted_cost_index,supplier_count_used,risk_notes,scenario,policy,stress_reason,key_finding
15000000,15000000,0,100.0,0.0,0.0,0.0,0.3563,3,medium=3,Demand_Surge_50,Preferred_First,Demand surge +50%: $10M to $15M,Demand +50%: fully covered by 3 suppliers. P=100.0% C=0.0%. No gap.
15000000,15000000,0,60.0,40.0,0.0,0.0,0.3692,4,"low=1, medium=3",Demand_Surge_50,Balanced_Core,Demand surge +50%: $10M to $15M,Demand +50%: fully covered by 4 suppliers. P=60.0% C=40.0%. No gap.
15000000,15000000,0,100.0,0.0,0.0,0.0,0.3563,3,medium=3,Demand_Surge_50,Cost_Minimized,Demand surge +50%: $10M to $15M,Demand +50%: fully covered by 3 suppliers. P=100.0% C=0.0%. No gap.
15000000,15000000,0,50.0,40.0,10.0,0.0,0.3965,5,"low=3, medium=2",Demand_Surge_50,Risk_Controlled,Demand surge +50%: $10M to $15M,Demand +50%: fully covered by 5 suppliers. P=50.0% C=40.0%. No gap.
10000000,10000000,0,100.0,0.0,0.0,0.0,0.3724,3,medium=3,Preferred_Disruption,Preferred_First,Preferred disruption: S11 capacity -70%,Preferred disruption: absorbed by C=0.0% shift. 3 suppliers.
10000000,10000000,0,60.0,40.0,0.0,0.0,0.3831,5,"low=1, medium=4",Preferred_Disruption,Balanced_Core,Preferred disruption: S11 capacity -70%,Preferred disruption: absorbed by C=40.0% shift. 5 suppliers.
10000000,10000000,0,100.0,0.0,0.0,0.0,0.3748,4,medium=4,Preferred_Disruption,Cost_Minimized,Preferred disruption: S11 capacity -70%,Preferred disruption: absorbed by C=0.0% shift. 4 suppliers.
10000000,10000000,0,50.0,40.0,10.0,0.0,0.4085,6,"low=3, medium=3",Preferred_Disruption,Risk_Controlled,Preferred disruption: S11 capacity -70%,Preferred disruption: absorbed by C=40.0% shift. 6 suppliers.
10000000,10000000,0,90.0,10.0,0.0,0.0,0.39,3,"low=1, medium=2",EU_Carbon_Pressure,Preferred_First,"EU carbon pressure: cost +15% on S04, S11, S08, S07, S03; non-ESG-Leader pool downgrade",EU carbon: P=90.0% C=10.0% Cd=0.0%. Cost escalation absorbed.
10000000,10000000,0,40.0,60.0,0.0,0.0,0.4109,4,"low=1, medium=3",EU_Carbon_Pressure,Balanced_Core,"EU carbon pressure: cost +15% on S04, S11, S08, S07, S03; non-ESG-Leader pool downgrade",EU carbon: P=40.0% C=60.0% Cd=0.0%. Cost escalation absorbed.
10000000,10000000,0,60.0,40.0,0.0,0.0,0.392,3,"low=1, medium=2",EU_Carbon_Pressure,Cost_Minimized,"EU carbon pressure: cost +15% on S04, S11, S08, S07, S03; non-ESG-Leader pool downgrade",EU carbon: P=60.0% C=40.0% Cd=0.0%. Cost escalation absorbed.
10000000,10000000,0,50.0,40.0,10.0,0.0,0.4212,5,"low=3, medium=2",EU_Carbon_Pressure,Risk_Controlled,"EU carbon pressure: cost +15% on S04, S11, S08, S07, S03; non-ESG-Leader pool downgrade",EU carbon: P=50.0% C=40.0% Cd=10.0%. Cost escalation absorbed.
10000000,10000000,0,100.0,0.0,0.0,0.0,0.3426,3,medium=3,Malaysia_Backup_Node,Preferred_First,"Malaysia backup node added: MY_Backup_Node (Core, cost=0.4442, capacity=$4M)",Backup node available but idle under this policy; Preferred pool still covers demand.
10000000,10000000,0,40.0,60.0,0.0,0.0,0.3789,4,"low=2, medium=2",Malaysia_Backup_Node,Balanced_Core,"Malaysia backup node added: MY_Backup_Node (Core, cost=0.4442, capacity=$4M)",Backup node is used under Core-reserving policy; Preferred concentration reduced to 40.0%.
10000000,10000000,0,100.0,0.0,0.0,0.0,0.349,3,medium=3,Malaysia_Backup_Node,Cost_Minimized,"Malaysia backup node added: MY_Backup_Node (Core, cost=0.4442, capacity=$4M)",Backup node available but idle under this policy; Preferred pool still covers demand.
10000000,10000000,0,10.0,80.0,10.0,0.0,0.4396,5,"low=4, medium=1",Malaysia_Backup_Node,Risk_Controlled,"Malaysia backup node added: MY_Backup_Node (Core, cost=0.4442, capacity=$4M)",Backup node is used under Core-reserving policy; Preferred concentration reduced to 10.0%.
