parameter,module,current_value,unit,role,current_source,real_company_replacement,status,notes
m3_demand_value,M3,TBD,USD per quarter,quarterly category demand input,external/scenario input pending confirmation,quarterly procurement plan or demand forecast,pending,Demand should not be derived from historical contract value by a fixed ratio.
m3_capacity_proxy_method,M3,annual_contract_value_based_proxy,method,estimate supplier allocation capacity when real capacity is unavailable,scenario assumption based on available supplier data,supplier committed capacity / production capacity / approved allocation limit,provisional,This is a proxy only and should be replaced by real supplier capacity data in enterprise use.
m3_max_single_supplier_share,M3,TBD,allocation share,prevent excessive dependence on one supplier,sourcing policy assumption,company supplier concentration policy or category sourcing rule,pending,Do not hardcode a fixed threshold before policy confirmation.
m3_limited_supplier_cap,M3,TBD,allocation share,restrict allocation to LIMITED suppliers,risk control assumption,supplier qualification policy or risk appetite rule,pending,LIMITED suppliers are usable but should not receive unrestricted allocation.
m3_min_supplier_count,M3,TBD,count,ensure at least a minimum number of active suppliers where feasible,sourcing resilience assumption,category sourcing policy or dual-sourcing requirement,pending,If not enough qualified suppliers exist the model should flag a supply coverage gap.
m3_allocation_weight_cost,M3,TBD,weight,cost importance in allocation score,scenario preference,management preference or procurement policy,pending,Used only for allocation preference not for M1 qualification.
m3_allocation_weight_esg,M3,TBD,weight,ESG importance in allocation score,scenario preference,ESG procurement policy or sustainability target,pending,ESG should remain visible as a separate strategic consideration.
m3_allocation_weight_risk,M3,TBD,weight,risk importance in allocation score,scenario preference,enterprise risk appetite or supplier risk policy,pending,Risk should not be hidden; if converted into cost later document the conversion rule.
m2_revised_shortlist_share,M2,0.40,share,category-level shortlist size for revised Cost-ESG view,MVP scenario assumption,category sourcing policy or buyer-defined shortlist size,provisional,Applied within each category; does not replace legacy M2 ranking outputs.
m2_revised_min_category_shortlist,M2,3,count,minimum suppliers shortlisted per category where available,MVP scenario assumption,category manager shortlist policy,provisional,Prevents small categories from being excluded by global ranking effects.
m2_revised_stable_scenario_count,M2,3,count,minimum Cost-ESG views required for stable shortlist flag,MVP scenario assumption,management preference for shortlist robustness,provisional,Uses four revised views: Cost Priority; Balanced Cost-ESG; ESG Priority; Risk-Control View.
m2_revised_balanced_cost_weight,M2,0.55,weight,cost weight in revised Balanced Cost-ESG view,MVP scenario assumption,category strategy or procurement policy,provisional,Cost remains the primary commercial line while ESG is retained as an independent strategic dimension.
m2_revised_balanced_esg_weight,M2,0.45,weight,ESG weight in revised Balanced Cost-ESG view,MVP scenario assumption,ESG sourcing policy or customer/regulatory target,provisional,Used only for shortlist construction; risk lead time and tech remain diagnostics.
m2_revised_cost_priority_cost_weight,M2,0.70,weight,cost weight in revised Cost Priority view,MVP scenario assumption,aggressive cost-reduction strategy or buyer price-driven policy,provisional,Cost-driven shortlist scenario; ESG is secondary.
m2_revised_cost_priority_esg_weight,M2,0.30,weight,ESG weight in revised Cost Priority view,MVP scenario assumption,minimum ESG compliance baseline,provisional,ESG retained at minimum threshold for regulatory relevance.
m2_revised_esg_priority_cost_weight,M2,0.35,weight,cost weight in revised ESG Priority view,MVP scenario assumption,cost considered but deprioritised,provisional,Used to test shortlist sensitivity under high ESG weighting.
m2_revised_esg_priority_esg_weight,M2,0.65,weight,ESG weight in revised ESG Priority view,MVP scenario assumption,strong ESG mandate or EU customer requirement,provisional,ESG is the primary shortlist driver in this view.
