supplier_id,supplier_name,M1_Status,M1_Risk_Type,M1_Risk_Vector,M1_Pool,M1_Action,M1_Decision_Reason,M1_Business_Impact,M1_Risk_Level,country,category,sub_category,material_service,rating,annual_contract_value_usd,yield_rate,defect_rate_ppm,lead_time_days,cert_type,cert_expiry_year,altman_z_score,cmrt_audit,rba_audit_pass,forced_labor_risk,carbon_intensity,pcf_commitment,export_control_restricted,M1_Penalty,M1_Capacity_Cap,M1_Risk_Exposure,M1_Penalty_Adjusted_Spend,override_flag,override_reason
S01,Supplier_S01,FAIL,Finance,Finance,RESERVE_FINANCE,Override required,Financial distress risk: Altman Z below threshold / 财务风险：Altman Z 低于准入阈值 (Altman Z=1.52) → reserve review,供应商财务困境 — Altman Z 低于阈值，有破产风险,HIGH,China,Key_Component,cathode,三元正极材料,5.0,14812000,0.994,6000,6,IATF 16949,2027,1.52,True,True,False,0.657,False,False,0.0,0.0,14812000.0,0.0,False,
S06,Supplier_S06,FAIL,Labor,Quality|Tech|Labor,RESERVE_BLACKLIST,Excluded,Missing labor assurance: no IATF or RBA audit evidence / 缺少劳工合规保障：无 IATF 或 RBA 审计证明 → excluded until remediation evidence provided,强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,China,Key_Component,separator,湿法隔膜,3.9,9506000,0.966,34000,5,ISO 9001,2025,2.25,True,False,False,0.657,True,False,0.0,0.0,9506000.0,0.0,False,
S12,Supplier_S12,FAIL,Compliance,Compliance,RESERVE_BLACKLIST,Excluded,Compliance audit failed: CMRT missing or not approved / 合规审计失败：CMRT 缺失或未通过 (cmrt_audit=False) → excluded,冲突矿物合规不达标 — 面临出口管制/罚款风险,CRITICAL,China,Key_Component,bms,电池管理系统,4.6,17309000,0.993,7000,8,IATF 16949,2027,2.97,False,True,False,0.545,False,False,0.0,0.0,17309000.0,0.0,False,
S17,Supplier_S17,FAIL,Labor,Labor,RESERVE_BLACKLIST,Excluded,Missing labor assurance: no IATF or RBA audit evidence / 缺少劳工合规保障：无 IATF 或 RBA 审计证明 → excluded until remediation evidence provided,强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,China,Critical_Raw,nickel,镍钴锰酸锂,4.1,18240000,0.962,38000,22,ISO 9001,2026,1.94,True,False,False,,True,False,0.0,0.0,18240000.0,0.0,False,
S18,Supplier_S18,FAIL,Labor,Ethics|Labor,RESERVE_BLACKLIST,Excluded,Confirmed forced labor risk / 确认存在强制劳工风险 → excluded (hard exclusion),强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,DRC,Critical_Raw,cobalt,硫酸钴,4.1,15594000,0.958,42000,55,ISO 9001,2026,2.15,True,False,True,,True,False,0.0,0.0,15594000.0,0.0,False,
S19,Supplier_S19,FAIL,Labor,Quality|Labor,RESERVE_BLACKLIST,Excluded,Confirmed forced labor risk / 确认存在强制劳工风险 → excluded (hard exclusion),强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,Indonesia,Critical_Raw,nickel,镍钴锰酸锂,4.0,11408000,0.955,45000,30,ISO 9001,2025,1.94,True,False,True,0.5,True,False,0.0,0.0,11408000.0,0.0,False,
S20,Supplier_S20,FAIL,Compliance,Compliance,RESERVE_BLACKLIST,Excluded,Compliance audit failed: CMRT missing or not approved / 合规审计失败：CMRT 缺失或未通过 (cmrt_audit=False) → excluded,冲突矿物合规不达标 — 面临出口管制/罚款风险,CRITICAL,China,Critical_Raw,lithium,碳酸锂,3.8,13752000,0.971,29000,31,ISO 9001,2026,2.07,False,True,False,0.628,True,False,0.0,0.0,13752000.0,0.0,False,
S21,Supplier_S21,FAIL,Labor,Quality|Tech|Compliance|Labor,RESERVE_BLACKLIST,Excluded,Missing labor assurance: no IATF or RBA audit evidence / 缺少劳工合规保障：无 IATF 或 RBA 审计证明 → excluded until remediation evidence provided,强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,China,Critical_Raw,cobalt,硫酸钴,3.7,11997000,0.957,43000,21,ISO 9001,2025,1.81,False,False,False,0.586,True,False,0.0,0.0,11997000.0,0.0,False,
S22,Supplier_S22,FAIL,Labor,Labor,RESERVE_BLACKLIST,Excluded,Missing labor assurance: no IATF or RBA audit evidence / 缺少劳工合规保障：无 IATF 或 RBA 审计证明 → excluded until remediation evidence provided,强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,Malaysia,Critical_Raw,lithium,碳酸锂,4.0,17602000,0.963,37000,38,ISO 9001,2026,1.93,True,False,False,0.479,False,False,0.0,0.0,17602000.0,0.0,False,
S35,Supplier_S35,FAIL,Labor,Quality|Labor,RESERVE_BLACKLIST,Excluded,Missing labor assurance: no IATF or RBA audit evidence / 缺少劳工合规保障：无 IATF 或 RBA 审计证明 → excluded until remediation evidence provided,强制劳工风险 — 法律禁止采购，不可赦免,CRITICAL,Indonesia,General_Comp,aluminum_shell,电池铝壳,3.9,9515000,0.955,45000,26,ISO 9001,2025,1.99,True,False,False,0.502,True,False,0.0,0.0,9515000.0,0.0,False,
